siteId,name,calory,carbo,protein,fat,fiber,activity1,activity2,activity3,activity4
195,پودر جوانه گندم,357,44.7,26.7,9.2,10,50,38,101,87
196,جوانه یونجه خام,24,0.4,4,0.7,1,3,2,6,5
197,سبوس گندم,246,66,17,7,15,34,26,69,60
198,بلغور خشک گندم,342,76,12,1.3,18,48,36,97,83
191,اسپاگتی از آرد کامل آب پز,113,23.2,4.7,0.9,4,16,12,32,27
192,باقلا خام,88,18,8,0.7,8,12,9,25,21
201,مافین (کیک یزدی) با سبوس گندم,272,45.6,7.8,7.7,8.5,38,28,77,66
202,آرد گندم سفید,364,76.3,10.3,1,2.7,51,38,103,88
203,آرد گندم سفید خود ورآ,330,75.6,8.9,1.2,4.1,46,35,93,80
204,آرد گندم سفید برای پخت نان,341,75.2,11.5,1.4,3.7,48,36,96,83
205,توتیلا تهیه شده با آرد گندم,262,59.8,7.2,1,2.8,37,27,74,63
206,غلات آماده مخصوص کودک بر پایه گندم,391,70.2,18.8,5.8,4,55,41,111,95
200,آرد گندم ممتاز,347,78,10.8,1.3,2.7,49,36,98,84
199,آرد گندم کامل,370,71.2,15.1,2.7,10.6,52,39,105,90
207,لپه خشک خام,364,61.6,23.1,3.9,22.2,51,38,103,88
208,لپه پخته,118,21.1,8.3,0.4,8.3,16,12,33,28
209,لوبیا سبز خشک,232,30.8,18.3,4.8,28.9,32,24,65,56
212,لوبیا چیتی خشک خام,347,62.6,21.4,1.2,15.5,49,36,98,84
213,لوبیا قرمز خشک خام,337,61.3,22.5,1.1,15.2,47,35,95,82
214,لوبیا سویا خشک خام,370,15.8,35.9,18.6,9,52,39,105,90
215,لوبیا چشم بلبلی خشک خام,90,18.8,3,0.4,5,12,9,25,21
216,لوبیا سبز پخته,35,8,1.9,0.3,3.2,4,3,9,8
210,لوبیا خوشه ای خام,23,3,2.6,0.1,3.9,3,2,6,5
217,لوبیا چیتی خشک پخته,143,26.2,9,0.7,9,20,15,40,34
211,لوبیا سبز خشک خام,286,49.7,21.4,1.6,22.9,40,30,81,69
219,لوبیا سویا خشک پخته ,141,5.1,14,7.3,9,20,15,40,34
220,لوبیا چشم بلبلی خشک پخته,97,20.3,3.2,0.4,5,13,10,27,23
221,ماکارونی خام,371,75,13,1.5,3.2,52,39,105,90
222,ماکارونی از آرد کامل خام,348,75,15,1.4,8,49,37,98,84
224,نان سودا,258,54.6,7.7,2.5,2.4,36,27,73,62
225,نان مالت,268,56.8,8.3,2.4,6.5,38,28,76,65
218,لوبیا قرمز خشک پخته,127,22.8,8.7,0.5,7.4,18,13,36,30
227,نان روغنی,265,45,8,3,3,37,28,75,64
228,نان چاودار / روگن,219,45.8,8.3,1.7,5.8,31,23,62,53
229,نان شیرمال,296,48.5,9,8.7,2.6,42,31,84,72
223,ماکارونی از آرد کامل آب پز,124,27,5,0.5,2.8,17,13,35,30
231,نان زنجبیلی,379,64.6,5.7,12.6,1.4,53,40,107,92
232,نان سفید وین,263,52.2,9.3,3.3,4.1,37,28,74,64
226,نان مویز,289,50.7,7.5,7.6,3.8,41,30,82,70
233,میوه نان,103,27.1,1.1,0.2,4.9,14,10,29,25
235,نان خشک پرفیبر,321,70.6,9.4,2.1,11.6,45,34,91,78
236,پودر نان خشک خانگی,354,77.5,11.6,1.9,5.6,50,37,100,86
230,پودینگ نان,297,46,10.5,9.6,3,42,31,84,72
237,نان لواش سفید,288,62,8.9,0.5,1.6,40,30,81,70
239,نان ساندویچ متوسط,268,51.6,9.2,4.2,3.9,38,28,76,65
240,پودر نان خشک غیر خانگی,354,78.5,10.1,2.1,5.3,50,37,100,86
234,نان پیتا سفید,265,57.9,9.2,1.2,3.9,37,28,75,64
241,نان ماشینی هوویس متوسط,212,41.5,9.5,2,5.1,30,22,60,51
243,نخود فرنگی خام,378,63,20.5,6,12.2,53,40,107,92
244,نخود خشک خام,364,61,19,6,17,51,38,103,88
238,نان جوانه گندم متوسط,232,42.5,9.2,2.5,5.4,32,24,65,56
245,نخود کامل خشک پخته در آب بی نمک,121,18.2,8.4,2.1,5.1,17,12,34,29
246,اسفناج خام,25,3.5,3,0.3,2.4,3,2,7,6
247,اسفناج خشک,211,13.8,24.3,6.9,33.9,30,22,60,51
248,,,,,,,,,,
242,آرد نخود,313,49.6,19.7,5.4,13.5,44,33,89,76
250,اسفناج پخته در آب بی نمک,19,0.8,2.2,0.8,3.1,2,2,5,4
252,,,,,,,,,,
253,بادمجان خام,25,5.9,1,0.2,3,3,2,7,6
251,اسفناج کنسرو شده بدون نمک,19,0.8,2.8,0.5,3.1,2,2,5,4
256,پیاز، خشک خام,313,68.6,10.2,1.7,13,44,33,89,76
249,اسفناج پخته در آب نمک,19,0.8,2.2,0.8,3.1,2,2,5,4
255,پیاز,40,9.3,1.1,0.1,1.7,5,4,11,9
257,پیاز، پخته در آب بی نمک,17,3.7,0.6,0.1,0.7,2,1,4,4
258,پیاز، پخته با حرارت خشک,103,22.3,3.5,0.6,4.2,14,10,29,25
254,برگ مو کنسرو شده در آب نمک,15,0.2,3.6,0,4.5,2,1,4,3
259,,,,,,,,,,
260,سس پیاز تهیه شده با شیر بدون چربی,77,8.4,2.9,4,0.6,10,8,21,18
263,تربچه سفید خام,15,2.9,0.8,0.1,1.5,2,1,4,3
267,جعفری فرنگی خشک,237,37.8,23.2,3.9,27,33,25,67,57
266,جعفری تازه,36,6,3,0.5,3.3,5,3,10,8
261,سس ترب کوهی,153,17.9,2.5,8.4,2,21,16,43,37
268,چغندر، خام,43,9.6,1.6,0.2,2.8,6,4,12,10
262,ترب، خام,62,11,4.5,0.3,7.5,8,6,17,15
265,جعفری خشک,181,14.5,15.8,7,44.7,25,19,51,44
264,تربچه قرمز خام,12,1.9,0.7,0.2,0.9,1,1,3,2
272,پودینگ ذرت,109,14.7,4.7,3.9,1.9,15,11,30,26
